file,model_num,rmse_recsys,rmse_feature_extraction
611.csv,1.0,0.1094627193135375,0.0843835899708433
1094.csv,1.0,0.1893766943628328,0.2325104096103571
601.csv,1.0,0.1678055545026994,0.2352090208280786
702.csv,2.0,0.10907076901426,0.3041227979912139
614.csv,1.0,0.2695188424541111,0.2712604301625146
653.csv,1.0,0.2358993826738444,0.2076837071108976
620.csv,2.0,0.1679188928658133,0.2460787626819401
668.csv,1.0,0.1517851360462252,0.3147326296285683
result.csv,1.0,0.0922896033956607,0.2050474226057884
696.csv,2.0,0.3868943689574671,0.2119577480088882
684.csv,2.0,0.0532688633613366,0.0698003533548207
606.csv,2.0,0.3334330673982296,0.166325238815862
189.csv,1.0,0.1879353749777491,0.2507970895258397
661.csv,2.0,0.1952114263296816,0.3998649346132313
214.csv,2.0,0.2757483582965978,0.3034950750543472
560.csv,2.0,0.1982694948067759,0.3505932041829269
582.csv,1.0,0.2266795879197435,0.1813929316045093
190.csv,2.0,0.3564654230066041,0.2601620929470054
664.csv,1.0,0.3236879081465748,0.4683184213192952
647.csv,1.0,0.23012464249598188,0.23765800937718792
604.csv,1.0,0.24754788947279557,0.22132914428224593
1098.csv,1.0,0.1833809391461147,0.1729889897572012
625.csv,1.0,0.20205668200801838,0.18492803560906063
640.csv,1.0,0.1607838692338135,0.16051978471243322
598.csv,2.0,0.32921189762244124,0.2594735014430133
232.csv,2.0,0.13056590687436584,0.15478192093707935
1076.csv,2.0,0.23829406253864466,0.2667941927308971
633.csv,2.0,0.222269351587939,0.228910514384338
621.csv,2.0,0.147802734256507,0.14167678569868417
1076.csv,2.0,0.43579196901005535,0.47324056439216394
